id,raDeg,decDeg
674,-90.2434,-9.7736
675,-89.2295,-8.1803
676,-84.6725,-2.8988
677,-75.9451,4.2036
678,151.9845,-0.3716
679,148.1268,-8.105
680,157.3696,-2.7391
681,157.5728,-0.637
682,84.4112,21.1425
683,68.9802,16.5093
684,67.1656,15.8709
685,64.9483,15.6276
686,65.7337,17.5425
687,67.1542,19.1804
688,81.573,28.6075
689,60.1701,12.4903
690,51.7923,9.7327
691,60.7891,5.9893
692,51.2033,9.0289
693,54.2183,0.4017
694,-87.1927,-45.9544
695,-83.2566,-45.9685
696,-82.7923,-49.0706
697,28.2704,29.5788
698,32.3859,34.9873
699,34.3286,33.8472
700,-107.8338,-69.0277
701,-121.2143,-63.4307
702,-130.2726,-68.6795
703,-25.3746,-60.2596
704,-10.6426,-58.2357
705,7.8861,-62.9582
706,5.0178,-64.8748
707,-0.0209,-65.5771
708,-23.1668,-64.9664
709,-176.1435,57.0326
710,165.932,61.751
711,165.4603,56.3824
712,178.4577,53.6948
713,-166.4927,55.9598
714,-159.0186,54.9254
715,-153.1148,49.3133
716,176.5126,47.7794
717,169.6197,33.0943
718,169.5468,31.5308
719,167.4159,44.4985
720,155.5823,41.4995
721,154.2741,42.9144
722,142.8821,63.0619
723,127.5661,60.7182
724,147.7473,59.0387
725,148.0265,54.0643
726,143.2143,51.6773
727,134.8019,48.0418
728,135.9064,47.1565
729,-123.9853,77.7945
730,-115.6238,75.7553
731,-129.8179,71.834
732,-137.3236,74.1555
733,-108.5073,82.0373
734,-96.9458,86.5865
735,37.9545,89.2641
736,131.1759,-54.7088
737,140.5284,-55.0107
738,149.2156,-54.5678
739,161.6924,-49.4203
740,153.684,-42.1219
741,142.675,-40.4668
742,136.999,-43.4326
743,122.3831,-47.3366
744,176.4648,6.5294
745,177.6738,1.7647
746,-175.0235,-0.6668
747,-169.5848,-1.4494
748,-162.5125,-5.539
749,-158.7018,-11.1613
750,-145.9964,-6.0005
751,-139.2349,-5.6582
752,-164.4558,10.9592
753,-166.0991,3.3975
754,-156.3267,-0.5958
755,-149.5884,1.5445
756,-138.4378,1.8929
757,135.6116,-66.3961
758,126.4341,-66.1369
759,121.9825,-68.6171
760,109.2076,-67.9572
761,107.1869,-70.4989
762,-70.9457,21.3904
763,-67.8236,24.6649
764,-61.6346,24.0796
765,-59.7248,27.7536
766,-56.0578,27.8142
